"species","dataset","tissue","condition","n","ngenes","design","assay","sample_type","accession","citation","license","file","status","note"
"mouse","GSE197524","Tissue","All",NA,NA,"active","RNAseq","in_vivo","GSE197524","GEO 2022","CC-BY","mouse/GSE197524_Tissue_All.rds","download_failed","exprs empty and no parseable suppl matrix"
"mouse","GSE131063","Tissue","All",NA,NA,"active","RNAseq","in_vivo","GSE131063","GEO 2019","CC-BY","mouse/GSE131063_Tissue_All.rds","download_failed","getGEO returned NULL"
"mouse","GSE104336","Tissue","All",NA,NA,"active","RNAseq","in_vivo","GSE104336","GEO 2017","CC-BY","mouse/GSE104336_Tissue_All.rds","download_failed","exprs empty and no parseable suppl matrix"
"mouse","GSE145883","Tissue","All",NA,NA,"active","RNAseq","in_vivo","GSE145883","GEO 2020","CC-BY","mouse/GSE145883_Tissue_All.rds","download_failed","exprs empty and no parseable suppl matrix"
"mouse","GSE165856","Tissue","All",NA,NA,"active","RNAseq","in_vivo","GSE165856","GEO 2021","CC-BY","mouse/GSE165856_Tissue_All.rds","download_failed","exprs empty and no parseable suppl matrix"
"mouse","GSE159960","Tissue","All",NA,NA,"active","RNAseq","in_vivo","GSE159960","GEO 2020","CC-BY","mouse/GSE159960_Tissue_All.rds","download_failed","exprs empty and no parseable suppl matrix"
"mouse","GSE193660","Tissue","All",NA,NA,"active","RNAseq","in_vivo","GSE193660","GEO 2022","CC-BY","mouse/GSE193660_Tissue_All.rds","download_failed","exprs empty and no parseable suppl matrix"
"mouse","GSE149092","Tissue","All",NA,NA,"active","RNAseq","in_vivo","GSE149092","GEO 2020","CC-BY","mouse/GSE149092_Tissue_All.rds","download_failed","exprs empty and no parseable suppl matrix"
"mouse","GSE164047","Tissue","All",NA,NA,"active","RNAseq","in_vivo","GSE164047","GEO 2021","CC-BY","mouse/GSE164047_Tissue_All.rds","download_failed","exprs empty and no parseable suppl matrix"
"human","GSE48113","Blood","All",287,34415,"active","microarray","in_vivo","GSE48113","Moller-Levet et al. 2013","CC-BY","human/GSE48113_Blood_All.rds","ingested",""
"human","GSE39445","Blood","All",438,43758,"active","microarray","in_vivo","GSE39445","Archer et al. 2014","CC-BY","human/GSE39445_Blood_All.rds","ingested",""
"human","GSE104674","Muscle","All",48,19820,"active","RNAseq","in_vivo","GSE104674","Perrin et al. 2018","CC-BY","human/GSE104674_Muscle_All.rds","ingested",""
"human","GSE76896","Adipose","All",NA,NA,"active","RNAseq","in_vivo","GSE76896","Loboda et al. 2009","CC-BY","human/GSE76896_Adipose_All.rds","no_tod_metadata","no TOD col among: title|geo_accession|status|submission_date|last_update_date|type|channel_count|source_name_ch1|organism_ch1|characteristics_ch1|characteristics_ch1.1|characteristics_ch1.2|characteristics_ch1.3|characteristics_ch1.4|characteristics_ch1.5|molecule_ch1|extract_protocol_ch1|label_ch1|label_protocol_ch1|taxid_ch1|hyb_protocol|scan_protocol|data_processing|data_processing.1|data_processing.2|data_processing.3|platform_id|contact_name|contact_department|contact_institute|contact_address|contact_city|contact_zip/postal_code|contact_country|supplementary_file|data_row_count|age (years):ch1|batch:ch1|body mass index (bmi):ch1|diabetes status (nd (non-diabetic), t2d (type 2 diabetic), igt (impaired glucose tolerance, t3cd (type 3 diabetic)):ch1|diabetes status (nd (non-diabetic), t2d (type 2 diabetic)):ch1|fasting glucose (mmol/l):ch1|gender (m/f):ch1|icu (intensive care unit) glycemia (mmol/l):ch1"
"human","GSE45642","Brain","All",NA,NA,"passive","microarray","in_vivo","GSE45642","Li et al. 2013","CC-BY","human/GSE45642_Brain_All.rds","no_tod_metadata","no TOD col among: title|geo_accession|status|submission_date|last_update_date|type|channel_count|source_name_ch1|organism_ch1|characteristics_ch1|characteristics_ch1.1|characteristics_ch1.2|characteristics_ch1.3|molecule_ch1|extract_protocol_ch1|label_ch1|label_protocol_ch1|taxid_ch1|hyb_protocol|scan_protocol|data_processing|platform_id|contact_name|contact_email|contact_laboratory|contact_department|contact_institute|contact_address|contact_city|contact_state|contact_zip/postal_code|contact_country|supplementary_file|data_row_count|brain region:ch1|genechip assay site:ch1|original genechip type:ch1|subject id:ch1"
"human","GSE114918","Hair","All",NA,NA,"active","RNAseq","in_vivo","GSE114918","Akashi et al. 2010","CC-BY","human/GSE114918_Hair_All.rds","download_failed","exprs empty and no parseable suppl matrix"
"human","GSE113883","Skin","All",95,36662,"active","RNAseq","in_vivo","GSE113883","Wu et al. 2018","CC-BY","human/GSE113883_Skin_All.rds","ingested",""
"human","GSE182740","Skin","All",NA,NA,"active","RNAseq","in_vivo","GSE182740","Welz et al. 2019","CC-BY","human/GSE182740_Skin_All.rds","no_tod_metadata","no TOD col among: title|geo_accession|status|submission_date|last_update_date|type|channel_count|source_name_ch1|organism_ch1|characteristics_ch1|characteristics_ch1.1|characteristics_ch1.2|characteristics_ch1.3|characteristics_ch1.4|characteristics_ch1.5|characteristics_ch1.6|characteristics_ch1.7|molecule_ch1|extract_protocol_ch1|label_ch1|label_protocol_ch1|taxid_ch1|hyb_protocol|scan_protocol|data_processing|platform_id|contact_name|contact_department|contact_institute|contact_address|contact_city|contact_state|contact_zip/postal_code|contact_country|supplementary_file|data_row_count|relation|disease:ch1|eczema area and severity index (easi):ch1|lesional (ls) vs. nonlesional (nl) vs. normal:ch1|psoriasis area and diseave severity index (pasi):ch1|sample relation with gse78097 (reanalysis):ch1|scoring atopic dermatitis (scorad):ch1|tissue:ch1|treatment:ch1"
