"species","dataset","tissue","tissue_canonical","design","condition","n","ngenes","tod_min","tod_max","tod_sd","tod_n_unique","tod_cycles","tod_step_hr","tod_phases","r_median_top300","r_q25_top300","r_q75_top300","prop_rhythmic"
"human","GTEx","Thyroid","Thyroid","passive","All",416,11498,1.4,22.4,3.85,22,1.17,"1","1.43..22.4 (22 phases)",0.444,0.424,0.476,0.2714
"human","GTEx","Lung","Lung","passive","All",390,11182,1.4,22.4,3.95,21,1.21,"irregular","1.43..22.4 (21 phases)",0.531,0.509,0.557,0.519
"human","GTEx","Spleen","Spleen","passive","All",167,11418,1.4,22.4,5.32,20,1.25,"irregular","1.43..22.4 (20 phases)",0.562,0.502,0.589,0.063
"human","GTEx","Pancreas","Pancreas","passive","All",249,9185,0.4,22.4,5.11,23,0.96,"1","0.43..22.4 (23 phases)",0.437,0.418,0.473,0.1252
"human","GTEx","Esophagus_Muscularis","Esophagus Muscularis","passive","All",430,10456,0.4,23.4,4.84,24,1,"1","0.43..23.4 (24 phases)",0.5,0.482,0.52,0.4799
"human","GTEx","Esophagus_Mucosa","Esophagus Mucosa","passive","All",481,10466,0.4,23.4,4.97,26,1.04,"irregular","0.43..23.4 (26 phases)",0.376,0.361,0.401,0.3245
"human","GTEx","Esophagus_Gastroesophageal_Junction","Esophagus Gastroesophageal Junction","passive","All",302,10507,0.4,23.4,5,24,1.12,"1","0.43..23.4 (24 phases)",0.474,0.459,0.497,0.3272
"human","GTEx","Stomach","Stomach","passive","All",234,10515,0.4,23.4,4.75,24,1,"1","0.43..23.4 (24 phases)",0.375,0.352,0.417,0.0178
"human","GTEx","Colon_Sigmoid","Colon Sigmoid","passive","All",272,10591,0.4,23.4,7.08,24,1,"1","0.43..23.4 (24 phases)",0.766,0.733,0.812,0.5048
"human","GTEx","Small_Intestine_Terminal_Ileum","Small Intestine Terminal Ileum","passive","All",136,11354,0.4,23.4,5.22,22,1,"irregular","0.43..23.4 (22 phases)",0.462,0.434,0.486,0.0028
"human","GTEx","Colon_Transverse","Colon Transverse","passive","All",236,10922,0.4,23.4,5.1,23,1.21,"irregular","0.43..23.4 (23 phases)",0.34,0.311,0.365,0.0071
"human","GTEx","Prostate","Prostate","passive","All",122,11542,1.4,23.4,5.26,23,1.04,"irregular","1.43..23.4 (23 phases)",0.517,0.47,0.573,0.0503
"human","GTEx","Testis","Testis","passive","All",211,13421,0.4,23.4,6.76,24,1.17,"1","0.43..23.4 (24 phases)",0.433,0.413,0.458,0.1052
"human","GTEx","Nerve_Tibial","Nerve Tibial","passive","All",500,11397,0.4,23.4,6.94,24,1.17,"1","0.43..23.4 (24 phases)",0.589,0.567,0.638,0.4457
"human","GTEx","Skin_Sun_Exposed_Lower_leg","Skin Sun Exposed Lower leg","passive","All",619,10854,0.4,23.4,7.84,24,1.21,"1","0.43..23.4 (24 phases)",0.508,0.477,0.545,0.3472
"human","GTEx","Heart_Left_Ventricle","Heart Left Ventricle","passive","All",332,8565,0.4,23.4,4.44,23,1,"irregular","0.43..23.4 (23 phases)",0.615,0.601,0.633,0.6472
"human","GTEx","Brain_Cerebellum","Brain Cerebellum","passive","All",169,10943,1.4,23.4,3.33,14,1.12,"irregular","1.43..23.4 (14 phases)",0.7,0.646,0.781,0.016
"human","GTEx","Cells_Cultured_fibroblasts","Cells Cultured fibroblasts","passive","All",641,8218,0.1,24,6.98,510,1,"0","0.05..  24 (510 phases)",0.18,0.174,0.189,0.0032
"human","GTEx","Whole_Blood","Whole Blood","passive","All",789,8218,0,24,6.94,623,1,"0","0.05..  24 (623 phases)",0.167,0.162,0.176,0.0403
"human","GTEx","Artery_Aorta","Artery Aorta","passive","All",372,10284,0.4,22.4,4.6,24,1.08,"irregular","0.43..22.4 (24 phases)",0.727,0.683,0.781,0.5183
"human","GTEx","Pituitary","Pituitary","passive","All",156,11780,0.4,23.4,3.16,15,0.87,"irregular","0.43..23.4 (15 phases)",0.814,0.745,0.872,0.0076
"human","GTEx","Brain_Frontal_Cortex_BA9","Brain Frontal Cortex BA9","passive","All",269,8218,0.1,24,6.88,242,1,"irregular","0.08..  24 (242 phases)",0.291,0.275,0.312,0.0085
"human","GTEx","Brain_Caudate_basal_ganglia","Brain Caudate basal ganglia","passive","All",300,8218,0.1,23.9,6.95,264,0.99,"irregular","0.14..23.9 (264 phases)",0.287,0.274,0.304,0.0521
"human","GTEx","Brain_Nucleus_accumbens_basal_ganglia","Brain Nucleus accumbens basal ganglia","passive","All",285,8218,0.1,23.9,6.83,250,0.99,"irregular","0.08..23.9 (250 phases)",0.277,0.266,0.292,0.008
"human","GTEx","Brain_Putamen_basal_ganglia","Brain Putamen basal ganglia","passive","All",254,8218,0.2,24,6.67,230,0.99,"irregular","0.25..  24 (230 phases)",0.29,0.284,0.333,0.0018
"human","GTEx","Brain_Hypothalamus","Brain Hypothalamus","passive","All",257,8218,0.2,23.9,6.89,233,0.98,"irregular","0.25..23.9 (233 phases)",0.288,0.278,0.307,0.0237
"human","GTEx","Brain_Hippocampus","Brain Hippocampus","passive","All",255,8218,0.1,24,6.99,232,1,"irregular","0.08..  24 (232 phases)",0.305,0.291,0.323,0.022
"human","GTEx","Brain_Anterior_cingulate_cortex_BA24","Brain Anterior cingulate cortex BA24","passive","All",233,8218,0.2,23.9,6.81,214,0.99,"irregular","0.24..23.9 (214 phases)",0.307,0.296,0.323,0.0195
"human","GTEx","Ovary","Ovary","passive","All",156,10817,0.4,23.4,6.96,24,1.25,"1","0.43..23.4 (24 phases)",0.507,0.489,0.535,0.2004
"human","GTEx","Brain_Cerebellar_Hemisphere","Brain Cerebellar Hemisphere","passive","All",277,8218,0.1,24,7.03,245,1,"irregular","0.08..  24 (245 phases)",0.288,0.271,0.308,0.0075
"human","GTEx","Brain_Substantia_nigra","Brain Substantia nigra","passive","All",183,8218,0.1,23.9,7.08,169,0.99,"irregular","0.14..23.9 (169 phases)",0.339,0.323,0.359,0.0266
"human","GTEx","Kidney_Cortex","Kidney Cortex","passive","All",104,8218,0.2,23.9,7.41,101,0.99,"irregular"," 0.2..23.9 (101 phases)",0.498,0.478,0.529,0.0186
"human","GTEx","Brain_Amygdala","Brain Amygdala","passive","All",181,8218,0.5,23.9,6.86,170,0.98,"irregular"," 0.5..23.9 (170 phases)",0.363,0.347,0.387,0.0033
"human","GSE71620","BA11_BA47","BA11+BA47 PFC (Combined)","passive","Older",74,19998,0.7,22.9,5.94,37,0.97,"irregular"," 0.7..22.9 (37 phases)",0.639,0.599,0.69,0.1853
"human","GSE71620","BA11","BA11 PFC","passive","All",68,19998,0.7,22.9,5.99,67,0.97,"irregular"," 0.7..22.9 (67 phases)",0.599,0.548,0.65,0.1236
"human","GSE71620","BA47","BA47 PFC","passive","All",68,19998,0.7,22.9,5.99,67,0.97,"irregular"," 0.7..22.9 (67 phases)",0.629,0.564,0.692,0.1064
"human","GSE112660","Skin_Epidermis","Skin Epidermis","active","All",79,49386,0,18,6.72,4,0.75,"6","   0,   6,  12,  18",0.973,0.907,1.071,0.2241
